"ENTREZID","SYMBOL"
"3074","HEXB"
"284004","HEXD"
"4123","MAN2C1"
"4125","MAN2B1"
"23324","MAN2B2"
"4126","MANBA"
"64772","ENGASE"
"2517","FUCA1"
"2519","FUCA2"
"175","AGA"
"2629","GBA1"
"57704","GBA2"
"442117","GALNTL6"
"11227","GALNT5"
"64409","GALNT17"
"63917","GALNT11"
"79695","GALNT12"
"114805","GALNT13"
"79623","GALNT14"
"57452","GALNT16"
"117248","GALNT15"
"374378","GALNT18"
"168391","GALNTL5"
"55568","GALNT10"
"2590","GALNT2"
"2591","GALNT3"
"2589","GALNT1"
"11226","GALNT6"
"8693","GALNT4"
"50614","GALNT9"
"51809","GALNT7"
"26290","GALNT8"
"100528030","POC1B-GALNT4"
"56913","C1GALT1"
"29071","C1GALT1C1"
"728819","C1GALT1C1L"
"2650","GCNT1"
"9245","GCNT3"
"51301","GCNT4"
"6482","ST3GAL1"
"6483","ST3GAL2"
"55808","ST6GALNAC1"
"10610","ST6GALNAC2"
"256435","ST6GALNAC3"
"27090","ST6GALNAC4"
"10331","B3GNT3"
"192134","B3GNT6"
"9334","B4GALT5"
"6487","ST3GAL3"
"283358","B4GALNT3"
"338707","B4GALNT4"
"64377","CHST8"
"83539","CHST9"
"8473","OGT"
"285203","EOGT"
"23509","POFUT1"
"23275","POFUT2"
"4242","MFNG"
"3955","LFNG"
"5986","RFNG"
"145173","B3GLCT"
"56983","POGLUT1"
"283464","GXYLT1"
"727936","GXYLT2"
"152002","XXYLT1"
"10585","POMT1"
"29954","POMT2"
"55624","POMGNT1"
"27087","B3GAT1"
"135152","B3GAT2"
"9486","CHST10"
"10690","FUT9"
"2526","FUT4"
"84892","POMGNT2"
"148789","B3GALNT2"
"84197","POMK"
"2218","FKTN"
"79147","FKRP"
"10329","RXYLT1"
"11041","B4GAT1"
"9215","LARGE1"
"120071","LARGE2"
"27159","CHIA"
"1118","CHIT1"
"55577","NAGK"
"51005","AMDHD2"
"10007","GNPDA1"
"132789","GNPDA2"
"64841","GNPNAT1"
"5238","PGM3"
"2585","GALK2"
"6675","UAP1"
"91373","UAP1L1"
"10020","GNE"
"5973","RENBP"
"54187","NANS"
"140838","NANP"
"80896","NPL"
"55907","CMAS"
"51706","CYB5R1"
"1727","CYB5R3"
"51700","CYB5R2"
"606495","CYB5RL"
"51167","CYB5R4"
"123956252","RIPPLY2-CYB5R4"
"80146","UXS1"
"8692","HYAL2"
"3373","HYAL1"
"6677","SPAM1"
"23553","HYAL4"
"8372","HYAL3"
"3423","IDS"
"3425","IDUA"
"411","ARSB"
"10855","HPSE"
"60495","HPSE2"
"6448","SGSH"
"138050","HGSNAT"
"4669","NAGLU"
"2588","GALNS"
"2799","GNS"
"64131","XYLT1"
"64132","XYLT2"
"11285","B4GALT7"
"126792","B3GALT6"
"26229","B3GAT3"
"55790","CSGALNACT1"
"55454","CSGALNACT2"
"337876","CHSY3"
"22856","CHSY1"
"79586","CHPF"
"54480","CHPF2"
"29940","DSE"
"92126","DSEL"
"50515","CHST11"
"55501","CHST12"
"166012","CHST13"
"9469","CHST3"
"56548","CHST7"
"51363","CHST15"
"10090","UST"
"113189","CHST14"
"10678","B3GNT2"
"4166","CHST6"
"8702","B4GALT4"
